test_type,protocol,iteration,phase,duration_us
connection_phase,PVA,1,search,1017
connection_phase,PVA,1,tcp_connect,122
connection_phase,PVA,1,validation,115
connection_phase,PVA,1,create_channel,307
connection_phase,PVA,1,total,1561
connection_phase,PVA,2,search,968
connection_phase,PVA,2,tcp_connect,115
connection_phase,PVA,2,validation,113
connection_phase,PVA,2,create_channel,274
connection_phase,PVA,2,total,1470
connection_phase,PVA,3,search,974
connection_phase,PVA,3,tcp_connect,122
connection_phase,PVA,3,validation,81
connection_phase,PVA,3,create_channel,304
connection_phase,PVA,3,total,1481
connection_phase,PVA,4,search,941
connection_phase,PVA,4,tcp_connect,116
connection_phase,PVA,4,validation,122
connection_phase,PVA,4,create_channel,256
connection_phase,PVA,4,total,1435
connection_phase,PVA,5,search,850
connection_phase,PVA,5,tcp_connect,88
connection_phase,PVA,5,validation,128
connection_phase,PVA,5,create_channel,171
connection_phase,PVA,5,total,1237
connection_phase,PVA,6,search,950
connection_phase,PVA,6,tcp_connect,99
connection_phase,PVA,6,validation,148
connection_phase,PVA,6,create_channel,234
connection_phase,PVA,6,total,1431
connection_phase,PVA,7,search,979
connection_phase,PVA,7,tcp_connect,134
connection_phase,PVA,7,validation,137
connection_phase,PVA,7,create_channel,330
connection_phase,PVA,7,total,1580
connection_phase,PVA,8,search,950
connection_phase,PVA,8,tcp_connect,107
connection_phase,PVA,8,validation,120
connection_phase,PVA,8,create_channel,274
connection_phase,PVA,8,total,1451
connection_phase,PVA,9,search,2947
connection_phase,PVA,9,tcp_connect,109
connection_phase,PVA,9,validation,226
connection_phase,PVA,9,create_channel,319
connection_phase,PVA,9,total,3601
connection_phase,PVA,10,search,2735
connection_phase,PVA,10,tcp_connect,57
connection_phase,PVA,10,validation,182
connection_phase,PVA,10,create_channel,605
connection_phase,PVA,10,total,3579
connection_phase,PVA,11,search,2511
connection_phase,PVA,11,tcp_connect,247
connection_phase,PVA,11,validation,98
connection_phase,PVA,11,create_channel,351
connection_phase,PVA,11,total,3207
connection_phase,PVA,12,search,2608
connection_phase,PVA,12,tcp_connect,53
connection_phase,PVA,12,validation,368
connection_phase,PVA,12,create_channel,410
connection_phase,PVA,12,total,3439
connection_phase,PVA,13,search,1792
connection_phase,PVA,13,tcp_connect,55
connection_phase,PVA,13,validation,105
connection_phase,PVA,13,create_channel,546
connection_phase,PVA,13,total,2498
connection_phase,PVA,14,search,1788
connection_phase,PVA,14,tcp_connect,54
connection_phase,PVA,14,validation,202
connection_phase,PVA,14,create_channel,477
connection_phase,PVA,14,total,2521
connection_phase,PVA,15,search,2349
connection_phase,PVA,15,tcp_connect,52
connection_phase,PVA,15,validation,171
connection_phase,PVA,15,create_channel,383
connection_phase,PVA,15,total,2955
connection_phase,PVA,16,search,3261
connection_phase,PVA,16,tcp_connect,113
connection_phase,PVA,16,validation,305
connection_phase,PVA,16,create_channel,646
connection_phase,PVA,16,total,4325
connection_phase,PVA,17,search,1783
connection_phase,PVA,17,tcp_connect,58
connection_phase,PVA,17,validation,180
connection_phase,PVA,17,create_channel,279
connection_phase,PVA,17,total,2300
connection_phase,PVA,18,search,5329
connection_phase,PVA,18,tcp_connect,106
connection_phase,PVA,18,validation,792
connection_phase,PVA,18,create_channel,1100
connection_phase,PVA,18,total,7327
connection_phase,PVA,19,search,4460
connection_phase,PVA,19,tcp_connect,108
connection_phase,PVA,19,validation,298
connection_phase,PVA,19,create_channel,623
connection_phase,PVA,19,total,5489
connection_phase,PVA,20,search,4349
connection_phase,PVA,20,tcp_connect,105
connection_phase,PVA,20,validation,303
connection_phase,PVA,20,create_channel,613
connection_phase,PVA,20,total,5370
connection_phase,PVA,21,search,1672
connection_phase,PVA,21,tcp_connect,60
connection_phase,PVA,21,validation,173
connection_phase,PVA,21,create_channel,1468
connection_phase,PVA,21,total,3373
connection_phase,PVA,22,search,2400
connection_phase,PVA,22,tcp_connect,1209
connection_phase,PVA,22,validation,736
connection_phase,PVA,22,create_channel,578
connection_phase,PVA,22,total,4923
connection_phase,PVA,23,search,4385
connection_phase,PVA,23,tcp_connect,153
connection_phase,PVA,23,validation,261
connection_phase,PVA,23,create_channel,294
connection_phase,PVA,23,total,5093
connection_phase,PVA,24,search,1978
connection_phase,PVA,24,tcp_connect,78
connection_phase,PVA,24,validation,341
connection_phase,PVA,24,create_channel,611
connection_phase,PVA,24,total,3008
connection_phase,PVA,25,search,1694
connection_phase,PVA,25,tcp_connect,108
connection_phase,PVA,25,validation,282
connection_phase,PVA,25,create_channel,292
connection_phase,PVA,25,total,2376
connection_phase,PVA,26,search,1769
connection_phase,PVA,26,tcp_connect,65
connection_phase,PVA,26,validation,258
connection_phase,PVA,26,create_channel,293
connection_phase,PVA,26,total,2385
connection_phase,PVA,27,search,2292
connection_phase,PVA,27,tcp_connect,87
connection_phase,PVA,27,validation,255
connection_phase,PVA,27,create_channel,409
connection_phase,PVA,27,total,3043
connection_phase,PVA,28,search,5533
connection_phase,PVA,28,tcp_connect,67
connection_phase,PVA,28,validation,694
connection_phase,PVA,28,create_channel,676
connection_phase,PVA,28,total,6970
connection_phase,PVA,29,search,3113
connection_phase,PVA,29,tcp_connect,63
connection_phase,PVA,29,validation,840
connection_phase,PVA,29,create_channel,951
connection_phase,PVA,29,total,4967
connection_phase,PVA,30,search,2997
connection_phase,PVA,30,tcp_connect,60
connection_phase,PVA,30,validation,180
connection_phase,PVA,30,create_channel,485
connection_phase,PVA,30,total,3722
connection_phase,PVA,31,search,2811
connection_phase,PVA,31,tcp_connect,56
connection_phase,PVA,31,validation,371
connection_phase,PVA,31,create_channel,456
connection_phase,PVA,31,total,3694
connection_phase,PVA,32,search,2426
connection_phase,PVA,32,tcp_connect,102
connection_phase,PVA,32,validation,545
connection_phase,PVA,32,create_channel,1043
connection_phase,PVA,32,total,4116
connection_phase,PVA,33,search,4462
connection_phase,PVA,33,tcp_connect,193
connection_phase,PVA,33,validation,334
connection_phase,PVA,33,create_channel,1397
connection_phase,PVA,33,total,6386
connection_phase,PVA,34,search,2936
connection_phase,PVA,34,tcp_connect,66
connection_phase,PVA,34,validation,230
connection_phase,PVA,34,create_channel,391
connection_phase,PVA,34,total,3623
connection_phase,PVA,35,search,2640
connection_phase,PVA,35,tcp_connect,89
connection_phase,PVA,35,validation,240
connection_phase,PVA,35,create_channel,467
connection_phase,PVA,35,total,3436
connection_phase,PVA,36,search,1977
connection_phase,PVA,36,tcp_connect,9984
connection_phase,PVA,36,validation,553
connection_phase,PVA,36,create_channel,312
connection_phase,PVA,36,total,12826
connection_phase,PVA,37,search,2618
connection_phase,PVA,37,tcp_connect,68
