test_type,protocol,iteration,phase,duration_us
connection_phase,PVA,1,search,952
connection_phase,PVA,1,tcp_connect,118
connection_phase,PVA,1,validation,117
connection_phase,PVA,1,create_channel,276
connection_phase,PVA,1,total,1463
connection_phase,PVA,2,search,950
connection_phase,PVA,2,tcp_connect,139
connection_phase,PVA,2,validation,131
connection_phase,PVA,2,create_channel,269
connection_phase,PVA,2,total,1489
connection_phase,PVA,3,search,940
connection_phase,PVA,3,tcp_connect,92
connection_phase,PVA,3,validation,106
connection_phase,PVA,3,create_channel,292
connection_phase,PVA,3,total,1430
connection_phase,PVA,4,search,925
connection_phase,PVA,4,tcp_connect,129
connection_phase,PVA,4,validation,125
connection_phase,PVA,4,create_channel,285
connection_phase,PVA,4,total,1464
connection_phase,PVA,5,search,954
connection_phase,PVA,5,tcp_connect,85
connection_phase,PVA,5,validation,119
connection_phase,PVA,5,create_channel,231
connection_phase,PVA,5,total,1389
connection_phase,PVA,6,search,1018
connection_phase,PVA,6,tcp_connect,150
connection_phase,PVA,6,validation,125
connection_phase,PVA,6,create_channel,277
connection_phase,PVA,6,total,1570
connection_phase,PVA,7,search,888
connection_phase,PVA,7,tcp_connect,107
connection_phase,PVA,7,validation,110
connection_phase,PVA,7,create_channel,214
connection_phase,PVA,7,total,1319
connection_phase,PVA,8,search,978
connection_phase,PVA,8,tcp_connect,106
connection_phase,PVA,8,validation,122
connection_phase,PVA,8,create_channel,220
connection_phase,PVA,8,total,1426
connection_phase,PVA,9,search,943
connection_phase,PVA,9,tcp_connect,116
connection_phase,PVA,9,validation,120
connection_phase,PVA,9,create_channel,277
connection_phase,PVA,9,total,1456
connection_phase,PVA,10,search,2041
connection_phase,PVA,10,tcp_connect,71
connection_phase,PVA,10,validation,197
connection_phase,PVA,10,create_channel,326
connection_phase,PVA,10,total,2635
connection_phase,PVA,11,search,1968
connection_phase,PVA,11,tcp_connect,68
connection_phase,PVA,11,validation,204
connection_phase,PVA,11,create_channel,400
connection_phase,PVA,11,total,2640
connection_phase,PVA,12,search,2356
connection_phase,PVA,12,tcp_connect,89
connection_phase,PVA,12,validation,194
connection_phase,PVA,12,create_channel,403
connection_phase,PVA,12,total,3042
connection_phase,PVA,13,search,2323
connection_phase,PVA,13,tcp_connect,67
connection_phase,PVA,13,validation,124
connection_phase,PVA,13,create_channel,341
connection_phase,PVA,13,total,2855
connection_phase,PVA,14,search,3179
connection_phase,PVA,14,tcp_connect,74
connection_phase,PVA,14,validation,207
connection_phase,PVA,14,create_channel,333
connection_phase,PVA,14,total,3793
connection_phase,PVA,15,search,1251
connection_phase,PVA,15,tcp_connect,78
connection_phase,PVA,15,validation,106
connection_phase,PVA,15,create_channel,268
connection_phase,PVA,15,total,1703
connection_phase,PVA,16,search,888
connection_phase,PVA,16,tcp_connect,98
connection_phase,PVA,16,validation,101
connection_phase,PVA,16,create_channel,221
connection_phase,PVA,16,total,1308
connection_phase,PVA,17,search,1034
connection_phase,PVA,17,tcp_connect,163
connection_phase,PVA,17,validation,106
connection_phase,PVA,17,create_channel,386
connection_phase,PVA,17,total,1689
connection_phase,PVA,18,search,928
connection_phase,PVA,18,tcp_connect,150
connection_phase,PVA,18,validation,116
connection_phase,PVA,18,create_channel,292
connection_phase,PVA,18,total,1486
connection_phase,PVA,19,search,948
connection_phase,PVA,19,tcp_connect,135
connection_phase,PVA,19,validation,127
connection_phase,PVA,19,create_channel,258
connection_phase,PVA,19,total,1468
connection_phase,PVA,20,search,1114
connection_phase,PVA,20,tcp_connect,80
connection_phase,PVA,20,validation,107
connection_phase,PVA,20,create_channel,249
connection_phase,PVA,20,total,1550
connection_phase,PVA,21,search,901
connection_phase,PVA,21,tcp_connect,90
connection_phase,PVA,21,validation,100
connection_phase,PVA,21,create_channel,197
connection_phase,PVA,21,total,1288
connection_phase,PVA,22,search,1037
connection_phase,PVA,22,tcp_connect,100
connection_phase,PVA,22,validation,90
connection_phase,PVA,22,create_channel,239
connection_phase,PVA,22,total,1466
connection_phase,PVA,23,search,1005
connection_phase,PVA,23,tcp_connect,124
connection_phase,PVA,23,validation,119
connection_phase,PVA,23,create_channel,297
connection_phase,PVA,23,total,1545
connection_phase,PVA,24,search,8989
connection_phase,PVA,24,tcp_connect,201
connection_phase,PVA,24,validation,117
connection_phase,PVA,24,create_channel,4651
connection_phase,PVA,24,total,13958
connection_phase,PVA,25,search,1100
connection_phase,PVA,25,tcp_connect,32
connection_phase,PVA,25,validation,172
connection_phase,PVA,25,create_channel,289
connection_phase,PVA,25,total,1593
connection_phase,PVA,26,search,862
connection_phase,PVA,26,tcp_connect,119
connection_phase,PVA,26,validation,122
connection_phase,PVA,26,create_channel,248
connection_phase,PVA,26,total,1351
connection_phase,PVA,27,search,2096
connection_phase,PVA,27,tcp_connect,61
connection_phase,PVA,27,validation,396
connection_phase,PVA,27,create_channel,765
connection_phase,PVA,27,total,3318
connection_phase,PVA,28,search,801
connection_phase,PVA,28,tcp_connect,53
connection_phase,PVA,28,validation,80
connection_phase,PVA,28,create_channel,126
connection_phase,PVA,28,total,1060
connection_phase,PVA,29,search,9114
connection_phase,PVA,29,tcp_connect,133
connection_phase,PVA,29,validation,413
connection_phase,PVA,29,create_channel,456
connection_phase,PVA,29,total,10116
connection_phase,PVA,30,search,1893
connection_phase,PVA,30,tcp_connect,73
connection_phase,PVA,30,validation,198
connection_phase,PVA,30,create_channel,336
connection_phase,PVA,30,total,2500
connection_phase,PVA,31,search,2708
connection_phase,PVA,31,tcp_connect,34
connection_phase,PVA,31,validation,337
connection_phase,PVA,31,create_channel,348
connection_phase,PVA,31,total,3427
connection_phase,PVA,32,search,2550
connection_phase,PVA,32,tcp_connect,165
connection_phase,PVA,32,validation,3550
connection_phase,PVA,32,create_channel,637
connection_phase,PVA,32,total,6902
connection_phase,PVA,33,search,3274
connection_phase,PVA,33,tcp_connect,123
connection_phase,PVA,33,validation,311
connection_phase,PVA,33,create_channel,536
connection_phase,PVA,33,total,4244
connection_phase,PVA,34,search,1637
connection_phase,PVA,34,tcp_connect,54
connection_phase,PVA,34,validation,185
connection_phase,PVA,34,create_channel,578
connection_phase,PVA,34,total,2454
connection_phase,PVA,35,search,1607
connection_phase,PVA,35,tcp_connect,59
connection_phase,PVA,35,validation,194
connection_phase,PVA,35,create_channel,270
connection_phase,PVA,35,total,2130
connection_phase,PVA,36,search,2389
connection_phase,PVA,36,tcp_connect,58
connection_phase,PVA,36,validation,357
connection_phase,PVA,36,create_channel,523
connection_phase,PVA,36,total,3327
connection_phase,PVA,37,search,2351
connection_phase,PVA,37,tcp_connect,68
connection_phase,PVA,37,validation,202
connection_phase,PVA,37,create_channel,336
connection_phase,PVA,37,total,2957
connection_phase,PVA,38,search,3088
connection_phase,PVA,38,tcp_connect,106
connection_phase,PVA,38,validation,482
connection_phase,PVA,38,create_channel,531
connection_phase,PVA,38,total,4207
connection_phase,PVA,39,search,3217
connection_phase,PVA,39,tcp_connect,116
connection_phase,PVA,39,validation,235
connection_phase,PVA,39,create_channel,579
connection_phase,PVA,39,total,4147
connection_phase,PVA,40,search,3022
connection_phase,PVA,40,tcp_connect,105
connection_phase,PVA,40,validation,293
connection_phase,PVA,40,create_channel,796
connection_phase,PVA,40,total,4216
connection_phase,PVA,41,search,2234
connection_phase,PVA,41,tcp_connect,55
connection_phase,PVA,41,validation,175
connection_phase,PVA,41,create_channel,302
connection_phase,PVA,41,total,2766
connection_phase,PVA,42,search,11019
connection_phase,PVA,42,tcp_connect,54
connection_phase,PVA,42,validation,347
connection_phase,PVA,42,create_channel,435
connection_phase,PVA,42,total,11855
connection_phase,PVA,43,search,10287
connection_phase,PVA,43,tcp_connect,67
connection_phase,PVA,43,validation,370
connection_phase,PVA,43,create_channel,905
connection_phase,PVA,43,total,11629
connection_phase,PVA,44,search,2074
connection_phase,PVA,44,tcp_connect,86
connection_phase,PVA,44,validation,348
connection_phase,PVA,44,create_channel,427
connection_phase,PVA,44,total,2935
connection_phase,PVA,45,search,2202
connection_phase,PVA,45,tcp_connect,64
connection_phase,PVA,45,validation,420
connection_phase,PVA,45,create_channel,1190
connection_phase,PVA,45,total,3876
connection_phase,PVA,46,search,2446
connection_phase,PVA,46,tcp_connect,85
connection_phase,PVA,46,validation,314
connection_phase,PVA,46,create_channel,783
connection_phase,PVA,46,total,3628
connection_phase,PVA,47,search,2789
connection_phase,PVA,47,tcp_connect,118
connection_phase,PVA,47,validation,372
connection_phase,PVA,47,create_channel,742
connection_phase,PVA,47,total,4021
connection_phase,PVA,48,search,1768
connection_phase,PVA,48,tcp_connect,61
connection_phase,PVA,48,validation,184
connection_phase,PVA,48,create_channel,270
connection_phase,PVA,48,total,2283
connection_phase,PVA,49,search,2241
connection_phase,PVA,49,tcp_connect,77
connection_phase,PVA,49,validation,113
connection_phase,PVA,49,create_channel,601
connection_phase,PVA,49,total,3032
connection_phase,PVA,50,search,2057
connection_phase,PVA,50,tcp_connect,73
connection_phase,PVA,50,validation,197
connection_phase,PVA,50,create_channel,311
connection_phase,PVA,50,total,2638
connection_phase,SPVA,1,search,2653
connection_phase,SPVA,1,tcp_connect,14160
connection_phase,SPVA,1,validation,1031
connection_phase,SPVA,1,create_channel,381
connection_phase,SPVA,1,total,18225
connection_phase,SPVA,2,search,3118
connection_phase,SPVA,2,tcp_connect,5710
connection_phase,SPVA,2,validation,526
connection_phase,SPVA,2,create_channel,288
connection_phase,SPVA,2,total,9642
