protocol,payload_mode,subscribers,payload_bytes,topology,iteration,updates_per_second,per_sub_updates_per_second,total_updates,drops,errors,duration_seconds
CA,raw,1,1,loopback,1,21708.2,21708.2,108620,11918141,0,5.00364
CA,raw,1,1,loopback,2,22746.3,22746.3,113733,11755110,0,5.00007
CA,raw,1,1,loopback,3,26204.2,26204.2,131147,11685015,0,5.0048
CA,raw,1,1,loopback,4,25698.6,25698.6,128538,11962487,0,5.00174
CA,raw,1,1,loopback,5,24956.1,24956.1,124875,11745566,0,5.00378
CA,raw,10,1,loopback,1,106669,10666.9,533605,39950485,0,5.00245
CA,raw,10,1,loopback,2,97763.8,9776.38,489232,40471928,0,5.00422
CA,raw,10,1,loopback,3,136139,13613.9,681379,39946241,0,5.00502
CA,raw,10,1,loopback,4,114535,11453.5,572816,38532894,0,5.00125
CA,raw,10,1,loopback,5,115571,11557.1,577884,39094266,0,5.00024
CA,raw,100,1,loopback,1,18068.9,180.689,90435,73279265,0,5.00502
CA,raw,100,1,loopback,2,18293.2,182.932,91558,72048542,0,5.00504
CA,raw,100,1,loopback,3,18985.5,189.855,94981,72211599,0,5.00282
CA,raw,100,1,loopback,4,17911.9,179.119,89641,73276487,0,5.00456
CA,raw,100,1,loopback,5,17236.6,172.366,86196,65072703,0,5.00076
CA,raw,500,1,loopback,1,64139.2,128.278,320950,76607314,0,5.00396
CA,raw,500,1,loopback,2,64164.7,128.329,320837,76376258,0,5.00021
CA,raw,500,1,loopback,3,65197.8,130.396,326184,77676216,0,5.00299
CA,raw,500,1,loopback,4,65122.8,130.246,325745,78050709,0,5.00201
CA,raw,500,1,loopback,5,65032,130.064,325384,78266663,0,5.00344
CA,raw,1000,1,loopback,1,60496.5,60.4965,302756,80600732,0,5.00452
CA,raw,1000,1,loopback,2,60105.1,60.1051,300808,80494864,0,5.0047
CA,raw,1000,1,loopback,3,59647.6,59.6476,298462,80314586,0,5.00375
CA,raw,1000,1,loopback,4,59603.7,59.6037,298285,80362603,0,5.00447
CA,raw,1000,1,loopback,5,60808.6,60.8086,304338,80610963,0,5.00485
CA,raw,1,10,loopback,1,21502.2,21502.2,107590,12541009,0,5.00368
CA,raw,1,10,loopback,2,23266.4,23266.4,116411,11832593,0,5.0034
CA,raw,1,10,loopback,3,20187.2,20187.2,100951,12323752,0,5.00075
CA,raw,1,10,loopback,4,25125.3,25125.3,125710,12044517,0,5.00331
CA,raw,1,10,loopback,5,21292.4,21292.4,106535,12105693,0,5.00344
CA,raw,10,10,loopback,1,80834,8083.4,404275,39849205,0,5.0013
CA,raw,10,10,loopback,2,45516.4,4551.64,227743,39519767,0,5.00354
CA,raw,10,10,loopback,3,52480.7,5248.07,262668,39403872,0,5.00504
