test_type,protocol,iteration,phase,duration_us
connection_phase,PVXS_PVA,1,search,1073
connection_phase,PVXS_PVA,1,tcp_connect,58
connection_phase,PVXS_PVA,1,validation,122
connection_phase,PVXS_PVA,1,create_channel,141
connection_phase,PVXS_PVA,1,total,1394
connection_phase,PVXS_PVA,2,search,1175
connection_phase,PVXS_PVA,2,tcp_connect,100
connection_phase,PVXS_PVA,2,validation,123
connection_phase,PVXS_PVA,2,create_channel,232
connection_phase,PVXS_PVA,2,total,1630
connection_phase,PVXS_PVA,3,search,1168
connection_phase,PVXS_PVA,3,tcp_connect,111
connection_phase,PVXS_PVA,3,validation,110
connection_phase,PVXS_PVA,3,create_channel,234
connection_phase,PVXS_PVA,3,total,1623
connection_phase,PVXS_PVA,4,search,1371
connection_phase,PVXS_PVA,4,tcp_connect,119
connection_phase,PVXS_PVA,4,validation,134
connection_phase,PVXS_PVA,4,create_channel,263
connection_phase,PVXS_PVA,4,total,1887
connection_phase,PVXS_PVA,5,search,1660
connection_phase,PVXS_PVA,5,tcp_connect,104
connection_phase,PVXS_PVA,5,validation,144
connection_phase,PVXS_PVA,5,create_channel,277
connection_phase,PVXS_PVA,5,total,2185
connection_phase,PVXS_PVA,6,search,1948
connection_phase,PVXS_PVA,6,tcp_connect,110
connection_phase,PVXS_PVA,6,validation,142
connection_phase,PVXS_PVA,6,create_channel,321
connection_phase,PVXS_PVA,6,total,2521
connection_phase,PVXS_PVA,7,search,2019
connection_phase,PVXS_PVA,7,tcp_connect,113
connection_phase,PVXS_PVA,7,validation,155
connection_phase,PVXS_PVA,7,create_channel,535
connection_phase,PVXS_PVA,7,total,2822
connection_phase,PVXS_PVA,8,search,1261
connection_phase,PVXS_PVA,8,tcp_connect,247
connection_phase,PVXS_PVA,8,validation,187
connection_phase,PVXS_PVA,8,create_channel,249
connection_phase,PVXS_PVA,8,total,1944
connection_phase,PVXS_PVA,9,search,2691
connection_phase,PVXS_PVA,9,tcp_connect,152
connection_phase,PVXS_PVA,9,validation,171
connection_phase,PVXS_PVA,9,create_channel,424
connection_phase,PVXS_PVA,9,total,3438
connection_phase,PVXS_PVA,10,search,2757
connection_phase,PVXS_PVA,10,tcp_connect,59
connection_phase,PVXS_PVA,10,validation,205
connection_phase,PVXS_PVA,10,create_channel,313
connection_phase,PVXS_PVA,10,total,3334
connection_phase,PVXS_PVA,11,search,5706
connection_phase,PVXS_PVA,11,tcp_connect,65
connection_phase,PVXS_PVA,11,validation,188
connection_phase,PVXS_PVA,11,create_channel,352
connection_phase,PVXS_PVA,11,total,6311
connection_phase,PVXS_PVA,12,search,1297
connection_phase,PVXS_PVA,12,tcp_connect,101
connection_phase,PVXS_PVA,12,validation,117
connection_phase,PVXS_PVA,12,create_channel,235
connection_phase,PVXS_PVA,12,total,1750
connection_phase,PVXS_PVA,13,search,4255
connection_phase,PVXS_PVA,13,tcp_connect,130
connection_phase,PVXS_PVA,13,validation,320
connection_phase,PVXS_PVA,13,create_channel,423
connection_phase,PVXS_PVA,13,total,5128
connection_phase,PVXS_PVA,14,search,2975
connection_phase,PVXS_PVA,14,tcp_connect,56
connection_phase,PVXS_PVA,14,validation,183
connection_phase,PVXS_PVA,14,create_channel,315
connection_phase,PVXS_PVA,14,total,3529
connection_phase,PVXS_PVA,15,search,15980
connection_phase,PVXS_PVA,15,tcp_connect,159
connection_phase,PVXS_PVA,15,validation,212
connection_phase,PVXS_PVA,15,create_channel,393
connection_phase,PVXS_PVA,15,total,16744
connection_phase,PVXS_PVA,16,search,1578
connection_phase,PVXS_PVA,16,tcp_connect,98
connection_phase,PVXS_PVA,16,validation,160
connection_phase,PVXS_PVA,16,create_channel,257
connection_phase,PVXS_PVA,16,total,2093
connection_phase,PVXS_PVA,17,search,9209
connection_phase,PVXS_PVA,17,tcp_connect,75
connection_phase,PVXS_PVA,17,validation,125
connection_phase,PVXS_PVA,17,create_channel,319
connection_phase,PVXS_PVA,17,total,9728
connection_phase,PVXS_PVA,18,search,3996
connection_phase,PVXS_PVA,18,tcp_connect,58
connection_phase,PVXS_PVA,18,validation,533
connection_phase,PVXS_PVA,18,create_channel,640
connection_phase,PVXS_PVA,18,total,5227
connection_phase,PVXS_PVA,19,search,1240
connection_phase,PVXS_PVA,19,tcp_connect,105
connection_phase,PVXS_PVA,19,validation,121
connection_phase,PVXS_PVA,19,create_channel,268
connection_phase,PVXS_PVA,19,total,1734
connection_phase,PVXS_PVA,20,search,2549
connection_phase,PVXS_PVA,20,tcp_connect,86
connection_phase,PVXS_PVA,20,validation,205
connection_phase,PVXS_PVA,20,create_channel,470
connection_phase,PVXS_PVA,20,total,3310
connection_phase,PVXS_PVA,21,search,5133
connection_phase,PVXS_PVA,21,tcp_connect,72
connection_phase,PVXS_PVA,21,validation,163
connection_phase,PVXS_PVA,21,create_channel,303
connection_phase,PVXS_PVA,21,total,5671
connection_phase,PVXS_PVA,22,search,14676
connection_phase,PVXS_PVA,22,tcp_connect,109
connection_phase,PVXS_PVA,22,validation,129
connection_phase,PVXS_PVA,22,create_channel,313
connection_phase,PVXS_PVA,22,total,15227
connection_phase,PVXS_PVA,23,search,4800
connection_phase,PVXS_PVA,23,tcp_connect,55
connection_phase,PVXS_PVA,23,validation,1723
connection_phase,PVXS_PVA,23,create_channel,847
connection_phase,PVXS_PVA,23,total,7425
connection_phase,PVXS_PVA,24,search,19605
connection_phase,PVXS_PVA,24,tcp_connect,131
connection_phase,PVXS_PVA,24,validation,156
connection_phase,PVXS_PVA,24,create_channel,255
connection_phase,PVXS_PVA,24,total,20147
connection_phase,PVXS_PVA,25,search,1179
connection_phase,PVXS_PVA,25,tcp_connect,175
connection_phase,PVXS_PVA,25,validation,192
connection_phase,PVXS_PVA,25,create_channel,236
connection_phase,PVXS_PVA,25,total,1782
connection_phase,PVXS_PVA,26,search,6376
connection_phase,PVXS_PVA,26,tcp_connect,84
connection_phase,PVXS_PVA,26,validation,436
connection_phase,PVXS_PVA,26,create_channel,422
connection_phase,PVXS_PVA,26,total,7318
connection_phase,PVXS_PVA,27,search,1137
connection_phase,PVXS_PVA,27,tcp_connect,106
connection_phase,PVXS_PVA,27,validation,112
connection_phase,PVXS_PVA,27,create_channel,234
connection_phase,PVXS_PVA,27,total,1589
connection_phase,PVXS_PVA,28,search,5293
connection_phase,PVXS_PVA,28,tcp_connect,59
connection_phase,PVXS_PVA,28,validation,370
connection_phase,PVXS_PVA,28,create_channel,427
connection_phase,PVXS_PVA,28,total,6149
connection_phase,PVXS_PVA,29,search,1476
connection_phase,PVXS_PVA,29,tcp_connect,155
connection_phase,PVXS_PVA,29,validation,156
connection_phase,PVXS_PVA,29,create_channel,359
connection_phase,PVXS_PVA,29,total,2146
connection_phase,PVXS_PVA,30,search,18826
connection_phase,PVXS_PVA,30,tcp_connect,54
connection_phase,PVXS_PVA,30,validation,240
connection_phase,PVXS_PVA,30,create_channel,297
connection_phase,PVXS_PVA,30,total,19417
connection_phase,PVXS_PVA,31,search,6777
connection_phase,PVXS_PVA,31,tcp_connect,109
connection_phase,PVXS_PVA,31,validation,356
connection_phase,PVXS_PVA,31,create_channel,401
connection_phase,PVXS_PVA,31,total,7643
connection_phase,PVXS_PVA,32,search,14612
connection_phase,PVXS_PVA,32,tcp_connect,146
connection_phase,PVXS_PVA,32,validation,264
connection_phase,PVXS_PVA,32,create_channel,367
connection_phase,PVXS_PVA,32,total,15389
connection_phase,PVXS_PVA,33,search,5358
connection_phase,PVXS_PVA,33,tcp_connect,129
connection_phase,PVXS_PVA,33,validation,425
connection_phase,PVXS_PVA,33,create_channel,1418
connection_phase,PVXS_PVA,33,total,7330
connection_phase,PVXS_PVA,34,search,4827
connection_phase,PVXS_PVA,34,tcp_connect,58
connection_phase,PVXS_PVA,34,validation,195
connection_phase,PVXS_PVA,34,create_channel,412
connection_phase,PVXS_PVA,34,total,5492
connection_phase,PVXS_PVA,35,search,3015
connection_phase,PVXS_PVA,35,tcp_connect,60
connection_phase,PVXS_PVA,35,validation,348
connection_phase,PVXS_PVA,35,create_channel,332
connection_phase,PVXS_PVA,35,total,3755
connection_phase,PVXS_PVA,36,search,1751
connection_phase,PVXS_PVA,36,tcp_connect,93
connection_phase,PVXS_PVA,36,validation,145
connection_phase,PVXS_PVA,36,create_channel,296
connection_phase,PVXS_PVA,36,total,2285
connection_phase,PVXS_PVA,37,search,4945
connection_phase,PVXS_PVA,37,tcp_connect,207
connection_phase,PVXS_PVA,37,validation,857
connection_phase,PVXS_PVA,37,create_channel,449
connection_phase,PVXS_PVA,37,total,6458
connection_phase,PVXS_PVA,38,search,3311
connection_phase,PVXS_PVA,38,tcp_connect,65
connection_phase,PVXS_PVA,38,validation,164
connection_phase,PVXS_PVA,38,create_channel,614
connection_phase,PVXS_PVA,38,total,4154
connection_phase,PVXS_PVA,39,search,4528
connection_phase,PVXS_PVA,39,tcp_connect,58
connection_phase,PVXS_PVA,39,validation,366
connection_phase,PVXS_PVA,39,create_channel,336
connection_phase,PVXS_PVA,39,total,5288
connection_phase,PVXS_PVA,40,search,3873
connection_phase,PVXS_PVA,40,tcp_connect,108
connection_phase,PVXS_PVA,40,validation,176
connection_phase,PVXS_PVA,40,create_channel,353
connection_phase,PVXS_PVA,40,total,4510
connection_phase,PVXS_PVA,41,search,3411
connection_phase,PVXS_PVA,41,tcp_connect,83
connection_phase,PVXS_PVA,41,validation,409
connection_phase,PVXS_PVA,41,create_channel,418
connection_phase,PVXS_PVA,41,total,4321
connection_phase,PVXS_PVA,42,search,3550
connection_phase,PVXS_PVA,42,tcp_connect,60
connection_phase,PVXS_PVA,42,validation,792
connection_phase,PVXS_PVA,42,create_channel,709
connection_phase,PVXS_PVA,42,total,5111
connection_phase,PVXS_PVA,43,search,2919
connection_phase,PVXS_PVA,43,tcp_connect,76
connection_phase,PVXS_PVA,43,validation,398
connection_phase,PVXS_PVA,43,create_channel,300
connection_phase,PVXS_PVA,43,total,3693
connection_phase,PVXS_PVA,44,search,1302
connection_phase,PVXS_PVA,44,tcp_connect,45
connection_phase,PVXS_PVA,44,validation,98
connection_phase,PVXS_PVA,44,create_channel,157
connection_phase,PVXS_PVA,44,total,1602
connection_phase,PVXS_PVA,45,search,1375
connection_phase,PVXS_PVA,45,tcp_connect,55
connection_phase,PVXS_PVA,45,validation,138
connection_phase,PVXS_PVA,45,create_channel,198
connection_phase,PVXS_PVA,45,total,1766
connection_phase,PVXS_PVA,46,search,8084
connection_phase,PVXS_PVA,46,tcp_connect,168
connection_phase,PVXS_PVA,46,validation,290
connection_phase,PVXS_PVA,46,create_channel,293
connection_phase,PVXS_PVA,46,total,8835
connection_phase,PVXS_PVA,47,search,3538
connection_phase,PVXS_PVA,47,tcp_connect,125
connection_phase,PVXS_PVA,47,validation,148
connection_phase,PVXS_PVA,47,create_channel,340
connection_phase,PVXS_PVA,47,total,4151
connection_phase,PVXS_PVA,48,search,3319
connection_phase,PVXS_PVA,48,tcp_connect,59
connection_phase,PVXS_PVA,48,validation,366
connection_phase,PVXS_PVA,48,create_channel,393
connection_phase,PVXS_PVA,48,total,4137
connection_phase,PVXS_PVA,49,search,5374
connection_phase,PVXS_PVA,49,tcp_connect,175
connection_phase,PVXS_PVA,49,validation,341
connection_phase,PVXS_PVA,49,create_channel,2136
connection_phase,PVXS_PVA,49,total,8026
connection_phase,PVXS_PVA,50,search,5230
connection_phase,PVXS_PVA,50,tcp_connect,62
connection_phase,PVXS_PVA,50,validation,185
connection_phase,PVXS_PVA,50,create_channel,508
connection_phase,PVXS_PVA,50,total,5985
connection_phase,SPVA,1,search,2922
connection_phase,SPVA,1,tcp_connect,17844
connection_phase,SPVA,1,validation,1082
connection_phase,SPVA,1,create_channel,281
connection_phase,SPVA,1,total,22129
connection_phase,SPVA,2,search,4611
connection_phase,SPVA,2,tcp_connect,5545
connection_phase,SPVA,2,validation,390
connection_phase,SPVA,2,create_channel,314
connection_phase,SPVA,2,total,10860
connection_phase,SPVA,3,search,1161
connection_phase,SPVA,3,tcp_connect,13779
connection_phase,SPVA,3,validation,455
connection_phase,SPVA,3,create_channel,349
connection_phase,SPVA,3,total,15744
connection_phase,SPVA,4,search,1799
connection_phase,SPVA,4,tcp_connect,5526
connection_phase,SPVA,4,validation,455
connection_phase,SPVA,4,create_channel,288
connection_phase,SPVA,4,total,8068
connection_phase,SPVA,5,search,2777
connection_phase,SPVA,5,tcp_connect,13212
connection_phase,SPVA,5,validation,824
connection_phase,SPVA,5,create_channel,387
connection_phase,SPVA,5,total,17200
connection_phase,SPVA,6,search,5004
connection_phase,SPVA,6,tcp_connect,6499
connection_phase,SPVA,6,validation,677
connection_phase,SPVA,6,create_channel,374
connection_phase,SPVA,6,total,12554
connection_phase,SPVA,7,search,2006
connection_phase,SPVA,7,tcp_connect,6118
connection_phase,SPVA,7,validation,835
connection_phase,SPVA,7,create_channel,466
connection_phase,SPVA,7,total,9425
connection_phase,SPVA,8,search,2322
connection_phase,SPVA,8,tcp_connect,6436
connection_phase,SPVA,8,validation,710
connection_phase,SPVA,8,create_channel,359
connection_phase,SPVA,8,total,9827
connection_phase,SPVA,9,search,1459
connection_phase,SPVA,9,tcp_connect,6189
connection_phase,SPVA,9,validation,738
connection_phase,SPVA,9,create_channel,412
connection_phase,SPVA,9,total,8798
connection_phase,SPVA,10,search,2141
connection_phase,SPVA,10,tcp_connect,6248
connection_phase,SPVA,10,validation,704
connection_phase,SPVA,10,create_channel,374
connection_phase,SPVA,10,total,9467
connection_phase,SPVA,11,search,1425
connection_phase,SPVA,11,tcp_connect,4412
connection_phase,SPVA,11,validation,498
connection_phase,SPVA,11,create_channel,333
connection_phase,SPVA,11,total,6668
connection_phase,SPVA,12,search,1873
connection_phase,SPVA,12,tcp_connect,5481
connection_phase,SPVA,12,validation,787
connection_phase,SPVA,12,create_channel,516
connection_phase,SPVA,12,total,8657
connection_phase,SPVA,13,search,1851
connection_phase,SPVA,13,tcp_connect,5399
connection_phase,SPVA,13,validation,656
connection_phase,SPVA,13,create_channel,346
connection_phase,SPVA,13,total,8252
connection_phase,SPVA,14,search,1878
connection_phase,SPVA,14,tcp_connect,5403
connection_phase,SPVA,14,validation,692
connection_phase,SPVA,14,create_channel,363
connection_phase,SPVA,14,total,8336
connection_phase,SPVA,15,search,1474
connection_phase,SPVA,15,tcp_connect,4232
connection_phase,SPVA,15,validation,564
connection_phase,SPVA,15,create_channel,304
connection_phase,SPVA,15,total,6574
connection_phase,SPVA,16,search,2110
connection_phase,SPVA,16,tcp_connect,6215
connection_phase,SPVA,16,validation,678
connection_phase,SPVA,16,create_channel,371
connection_phase,SPVA,16,total,9374
connection_phase,SPVA,17,search,1889
connection_phase,SPVA,17,tcp_connect,5497
connection_phase,SPVA,17,validation,613
connection_phase,SPVA,17,create_channel,372
connection_phase,SPVA,17,total,8371
connection_phase,SPVA,18,search,2074
connection_phase,SPVA,18,tcp_connect,6146
connection_phase,SPVA,18,validation,772
connection_phase,SPVA,18,create_channel,378
connection_phase,SPVA,18,total,9370
connection_phase,SPVA,19,search,1549
connection_phase,SPVA,19,tcp_connect,3919
connection_phase,SPVA,19,validation,471
connection_phase,SPVA,19,create_channel,311
connection_phase,SPVA,19,total,6250
connection_phase,SPVA,20,search,1627
connection_phase,SPVA,20,tcp_connect,5739
connection_phase,SPVA,20,validation,733
connection_phase,SPVA,20,create_channel,469
connection_phase,SPVA,20,total,8568
connection_phase,SPVA,21,search,1753
connection_phase,SPVA,21,tcp_connect,4030
connection_phase,SPVA,21,validation,393
connection_phase,SPVA,21,create_channel,431
connection_phase,SPVA,21,total,6607
connection_phase,SPVA,22,search,1861
connection_phase,SPVA,22,tcp_connect,5380
connection_phase,SPVA,22,validation,606
connection_phase,SPVA,22,create_channel,403
connection_phase,SPVA,22,total,8250
connection_phase,SPVA,23,search,1520
connection_phase,SPVA,23,tcp_connect,4238
connection_phase,SPVA,23,validation,624
connection_phase,SPVA,23,create_channel,338
connection_phase,SPVA,23,total,6720
connection_phase,SPVA,24,search,1823
connection_phase,SPVA,24,tcp_connect,5372
connection_phase,SPVA,24,validation,750
connection_phase,SPVA,24,create_channel,340
connection_phase,SPVA,24,total,8285
connection_phase,SPVA,25,search,1159
connection_phase,SPVA,25,tcp_connect,2925
connection_phase,SPVA,25,validation,374
connection_phase,SPVA,25,create_channel,341
connection_phase,SPVA,25,total,4799
connection_phase,SPVA,26,search,1966
connection_phase,SPVA,26,tcp_connect,5388
connection_phase,SPVA,26,validation,927
connection_phase,SPVA,26,create_channel,479
connection_phase,SPVA,26,total,8760
connection_phase,SPVA,27,search,1666
connection_phase,SPVA,27,tcp_connect,4181
connection_phase,SPVA,27,validation,580
connection_phase,SPVA,27,create_channel,310
connection_phase,SPVA,27,total,6737
connection_phase,SPVA,28,search,1489
connection_phase,SPVA,28,tcp_connect,3955
connection_phase,SPVA,28,validation,525
connection_phase,SPVA,28,create_channel,347
connection_phase,SPVA,28,total,6316
connection_phase,SPVA,29,search,1613
connection_phase,SPVA,29,tcp_connect,3099
connection_phase,SPVA,29,validation,578
connection_phase,SPVA,29,create_channel,308
connection_phase,SPVA,29,total,5598
connection_phase,SPVA,30,search,1648
connection_phase,SPVA,30,tcp_connect,3984
connection_phase,SPVA,30,validation,624
connection_phase,SPVA,30,create_channel,395
connection_phase,SPVA,30,total,6651
connection_phase,SPVA,31,search,1634
connection_phase,SPVA,31,tcp_connect,4789
connection_phase,SPVA,31,validation,577
connection_phase,SPVA,31,create_channel,352
connection_phase,SPVA,31,total,7352
connection_phase,SPVA,32,search,1724
connection_phase,SPVA,32,tcp_connect,5012
connection_phase,SPVA,32,validation,746
connection_phase,SPVA,32,create_channel,398
connection_phase,SPVA,32,total,7880
connection_phase,SPVA,33,search,1583
connection_phase,SPVA,33,tcp_connect,3831
connection_phase,SPVA,33,validation,366
connection_phase,SPVA,33,create_channel,329
connection_phase,SPVA,33,total,6109
connection_phase,SPVA,34,search,1420
connection_phase,SPVA,34,tcp_connect,3442
connection_phase,SPVA,34,validation,717
connection_phase,SPVA,34,create_channel,358
connection_phase,SPVA,34,total,5937
connection_phase,SPVA,35,search,1380
connection_phase,SPVA,35,tcp_connect,5295
connection_phase,SPVA,35,validation,585
connection_phase,SPVA,35,create_channel,350
connection_phase,SPVA,35,total,7610
connection_phase,SPVA,36,search,2097
connection_phase,SPVA,36,tcp_connect,5403
connection_phase,SPVA,36,validation,712
connection_phase,SPVA,36,create_channel,478
connection_phase,SPVA,36,total,8690
connection_phase,SPVA,37,search,1963
connection_phase,SPVA,37,tcp_connect,5410
connection_phase,SPVA,37,validation,571
connection_phase,SPVA,37,create_channel,410
connection_phase,SPVA,37,total,8354
connection_phase,SPVA,38,search,1379
connection_phase,SPVA,38,tcp_connect,3555
connection_phase,SPVA,38,validation,422
connection_phase,SPVA,38,create_channel,282
connection_phase,SPVA,38,total,5638
connection_phase,SPVA,39,search,2051
connection_phase,SPVA,39,tcp_connect,6160
connection_phase,SPVA,39,validation,624
connection_phase,SPVA,39,create_channel,398
connection_phase,SPVA,39,total,9233
connection_phase,SPVA,40,search,1956
