test_type,protocol,iteration,phase,duration_us
connection_phase,PVXS_PVA,1,search,1269
connection_phase,PVXS_PVA,1,tcp_connect,50
connection_phase,PVXS_PVA,1,validation,163
connection_phase,PVXS_PVA,1,create_channel,299
connection_phase,PVXS_PVA,1,total,1781
connection_phase,PVXS_PVA,2,search,983
connection_phase,PVXS_PVA,2,tcp_connect,143
connection_phase,PVXS_PVA,2,validation,114
connection_phase,PVXS_PVA,2,create_channel,218
connection_phase,PVXS_PVA,2,total,1458
connection_phase,PVXS_PVA,3,search,1235
connection_phase,PVXS_PVA,3,tcp_connect,98
connection_phase,PVXS_PVA,3,validation,124
connection_phase,PVXS_PVA,3,create_channel,240
connection_phase,PVXS_PVA,3,total,1697
connection_phase,PVXS_PVA,4,search,977
connection_phase,PVXS_PVA,4,tcp_connect,104
connection_phase,PVXS_PVA,4,validation,145
connection_phase,PVXS_PVA,4,create_channel,267
connection_phase,PVXS_PVA,4,total,1493
connection_phase,PVXS_PVA,5,search,928
connection_phase,PVXS_PVA,5,tcp_connect,106
connection_phase,PVXS_PVA,5,validation,110
connection_phase,PVXS_PVA,5,create_channel,297
connection_phase,PVXS_PVA,5,total,1441
connection_phase,PVXS_PVA,6,search,972
connection_phase,PVXS_PVA,6,tcp_connect,104
connection_phase,PVXS_PVA,6,validation,120
connection_phase,PVXS_PVA,6,create_channel,304
connection_phase,PVXS_PVA,6,total,1500
connection_phase,PVXS_PVA,7,search,807
connection_phase,PVXS_PVA,7,tcp_connect,106
connection_phase,PVXS_PVA,7,validation,112
connection_phase,PVXS_PVA,7,create_channel,221
connection_phase,PVXS_PVA,7,total,1246
connection_phase,PVXS_PVA,8,search,844
connection_phase,PVXS_PVA,8,tcp_connect,94
connection_phase,PVXS_PVA,8,validation,121
connection_phase,PVXS_PVA,8,create_channel,258
connection_phase,PVXS_PVA,8,total,1317
connection_phase,PVXS_PVA,9,search,967
connection_phase,PVXS_PVA,9,tcp_connect,76
connection_phase,PVXS_PVA,9,validation,108
connection_phase,PVXS_PVA,9,create_channel,202
connection_phase,PVXS_PVA,9,total,1353
connection_phase,PVXS_PVA,10,search,1276
connection_phase,PVXS_PVA,10,tcp_connect,101
connection_phase,PVXS_PVA,10,validation,143
connection_phase,PVXS_PVA,10,create_channel,335
connection_phase,PVXS_PVA,10,total,1855
connection_phase,PVXS_PVA,11,search,1042
connection_phase,PVXS_PVA,11,tcp_connect,117
connection_phase,PVXS_PVA,11,validation,135
connection_phase,PVXS_PVA,11,create_channel,241
connection_phase,PVXS_PVA,11,total,1535
connection_phase,PVXS_PVA,12,search,1113
connection_phase,PVXS_PVA,12,tcp_connect,118
connection_phase,PVXS_PVA,12,validation,126
connection_phase,PVXS_PVA,12,create_channel,265
connection_phase,PVXS_PVA,12,total,1622
connection_phase,PVXS_PVA,13,search,1367
connection_phase,PVXS_PVA,13,tcp_connect,157
connection_phase,PVXS_PVA,13,validation,169
connection_phase,PVXS_PVA,13,create_channel,359
